race_year_id,rank,runner,time,age,gender,nationality,time_in_seconds,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,age_group,time_in_hours
72496,1.0,D HAENE Francois,20H 45M 59S,36,M,FRA,74759.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,20.76638888888889
72496,2.0,DUNAND PALLAZ Aurelien,20H 58M 31S,29,M,FRA,75511.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29,20.975277777777777
72496,3.0,BLANCHARD Mathieu,21H 12M 43S,34,M,FRA,76363.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,21.211944444444445
72496,4.0,POMMERET Ludovic,21H 38M 44S,46,M,FRA,77924.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49,21.645555555555557
72496,5.0,GRANGIER Germain,21H 52M 47S,31,M,FRA,78767.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,21.879722222222224
72496,6.0,NAMBERGER Hannes,22H 22M 6S,32,M,GER,80526.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,22.368333333333332
72496,10.0,CLEMENT Mathieu,23H 8M 5S,26,M,SUI,83285.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29,23.134722222222223
72496,11.0,WONG Ho Chung,23H 17M 40S,34,M,HKG,83860.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,23.294444444444444
72496,12.0,NOEL Yannick,23H 42M 28S,35,M,FRA,85348.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,23.70777777777778
72496,13.0,ORNATI Giulio,23H 45M 41S,35,M,ITA,85541.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,23.761388888888888
72496,14.0,TOLSTENKO Aleksei,23H 56M 20S,37,M,RUS,86180.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,23.93888888888889
72496,15.0,AIZPURU Jon,23H 57M 7S,33,M,ESP,86227.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,23.951944444444443
72496,17.0,VIET Vincent,24H 16M 25S,38,M,FRA,87385.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,24.273611111111112
72496,18.0,FERRARI Ugo,24H 34M 36S,29,M,FRA,88476.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29,24.576666666666668
72496,19.0,BUBLAK Benjamin,24H 37M 6S,33,M,GER,88626.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,24.618333333333332
72496,20.0,DOMINGUEZ LEDO Javier,24H 39M 18S,47,M,ESP,88758.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49,24.655
72496,21.0,ROVERA Rene,24H 49M 2S,53,M,FRA,89342.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,50-59,24.817222222222224
72496,22.0,SOUSA Bruno,24H 54M 19S,38,M,POR,89659.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,24.905277777777776
72496,24.0,CERISIER Nicolas,25H 9M 31S,38,M,FRA,90571.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,25.15861111111111
72496,25.0,LABY Jeremy,25H 12M 33S,33,M,FRA,90753.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,25.20916666666667
72496,26.0,HELIER Clement,25H 17M 54S,35,M,FRA,91074.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,25.298333333333332
72496,27.0,TAZI Samir,25H 17M 55S,38,M,FRA,91075.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,25.29861111111111
72496,28.0,GOLEA Cedric,25H 24M 10S,41,M,FRA,91450.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49,25.40277777777778
72496,29.0,DURAND Regis,25H 34M 37S,44,M,FRA,92077.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49,25.576944444444443
72496,31.0,ŠTVERÁK Tomáš,25H 50M 27S,24,M,CZE,93027.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29,25.840833333333332
72496,32.0,MARIN Jeremie,25H 51M 36S,30,M,FRA,93096.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29,25.86
72496,35.0,ROUX Stephen,25H 59M 45S,31,M,FRA,93585.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,25.995833333333334
72496,37.0,OLLE BERNADES Marc,26H 8M 56S,32,M,ESP,94136.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,26.148888888888887
72496,38.0,LECURU Thibaut,26H 19M 9S,39,M,FRA,94749.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,26.319166666666668
72496,39.0,RODRIGUEZ Fernandez Jose Antonio,26H 21M 23S,38,M,ESP,94883.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,26.35638888888889
72496,7.0,DAUWALTER Courtney,22H 30M 54S,36,W,USA,81054.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,22.515
72496,16.0,BRUYAS Camille,24H 9M 42S,29,W,FRA,86982.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29,24.161666666666665
72496,23.0,KOTKA Mimmi,25H 8M 29S,40,W,SWE,90509.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,25.14138888888889
72496,33.0,DELESPIERRE Marion,25H 54M 33S,34,W,FRA,93273.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,25.909166666666668
72496,36.0,BUEHLER Luzia,26H 6M 17S,39,W,SUI,93977.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,26.10472222222222
72496,42.0,NAKACHE Maryline,26H 40M 48S,37,W,FRA,96048.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,26.68
72496,44.0,JAMSIN Lucie,26H 44M 41S,32,W,FRA,96281.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39,26.744722222222222
72496,52.0,SCHIDE Katie,27H 39M 45S,29,W,USA,99585.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29,27.6625
72496,59.0,TREMPS Claudia,27H 55M 36S,25,W,ESP,100536.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29,27.926666666666666
72496,73.0,HAWGOOD Emily,28H 36M 48S,27,W,GBR,103008.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29,28.613333333333333
72496,84.0,BOLDANE Linda,29H 11M 59S,29,W,LAT,105119.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29,29.19972222222222
72496,93.0,NIWA Kaori,29H 47M 25S,46,W,JPN,107245.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49,29.790277777777778
